modelo,n_gold,accuracy_gold,accuracy_ci_lower,accuracy_ci_upper,precision_gold,precision_ci_lower,precision_ci_upper,recall_gold,recall_ci_lower,recall_ci_upper,f1_gold,f1_ci_lower,f1_ci_upper,balanced_accuracy_gold,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,mcc_gold,mcc_ci_lower,mcc_ci_upper,tp,fp,fn,tn
deepseek:6.7b,1572,0.47646310432569977,0.45229007633587787,0.5012722646310432,0.4692144373673036,0.42386112458892666,0.5145469191789372,0.2783375314861461,0.24711687312386518,0.31016723136166335,0.3494071146245059,0.31465633252251557,0.3827517313930043,0.4785003852803481,0.4568088443832326,0.5017265312709367,-0.04693065435207169,-0.0951591481391813,0.003758454714722974,221,250,573,528
gemma3:4b,1572,0.5852417302798982,0.5597964376590331,0.6100508905852418,0.5997191011235955,0.5618480665027668,0.6350214451624773,0.5377833753148614,0.5012714753849942,0.5732323232323232,0.5670650730411687,0.5345060893098782,0.5973696943972835,0.5857297339299243,0.5604532401136928,0.6103235201973658,0.17221552453893146,0.12100911766609555,0.22119688528952686,427,285,367,493
llama3:8b,1572,0.571882951653944,0.549618320610687,0.5960559796437659,0.6873065015479877,0.6375325411166579,0.7379707539836766,0.2795969773299748,0.25123597849263,0.31082886042128866,0.3974932855863921,0.3629447851670765,0.4330272306023858,0.5748884629580465,0.5561259215089127,0.5944618796690366,0.18533715069669476,0.14086948788733483,0.23221658296970799,222,101,572,677
mistral0.2:7b,1572,0.5922391857506362,0.566793893129771,0.6170483460559797,0.7628865979381443,0.7147523343399632,0.8120678191489362,0.2795969773299748,0.2465785446164574,0.31194266954496863,0.4092165898617511,0.36951866883116885,0.4473821271929824,0.5954540156572753,0.5772885955288442,0.6145521595385957,0.24575546794721406,0.20102689854142106,0.29108676676260775,222,69,572,709
phi3:3.8b,1572,0.539440203562341,0.5127067430025445,0.5623409669211196,0.6182432432432432,0.5573592896174863,0.6748573789418876,0.2304785894206549,0.2012369533200999,0.2599749034749035,0.3357798165137615,0.2987477094125524,0.37161503027719495,0.5426171867411758,0.5230023848498891,0.5612459900620841,0.10900429996816623,0.059366940078848615,0.15535468950832895,183,113,611,665
qwen2.5:7b,1572,0.5553435114503816,0.5298982188295165,0.5801685750636132,0.7777777777777778,0.7134146341463414,0.8444513457556936,0.16750629722921914,0.14142979907794187,0.1929410089246155,0.27564766839378235,0.23763295721103292,0.3118108941418294,0.5593315547842753,0.5444981021047107,0.5750358394650037,0.19054548023843246,0.14792579569984268,0.2372790743224337,133,38,661,740
