metrica,media_clase_0,media_clase_1,p_value
num_tokens,152.66624040920715,117.645,1.8553907855378386e-07
num_palabras,117.26726342710998,93.0425,8.692129820297576e-07
num_oraciones,6.896419437340153,5.16625,3.5504637570249183e-06
num_verbs,11.482097186700766,9.48625,0.00020559219796377834
num_nouns,24.56777493606138,19.165,8.036039932979531e-06
num_adjs,9.516624040920716,7.62625,0.007176641337122481
num_advs,3.10613810741688,2.8625,0.43957302299565626
num_entidades,16.437340153452684,10.98625,1.3027607979469118e-14
longitud_promedio_oracion,23.255384622566154,23.201792695345684,0.7485870169546491
densidad_verbos,0.07471559337224395,0.07692129599222584,0.11285816211096922
densidad_sustantivos,0.15024906968420257,0.1507428363942016,0.8263479934361025
densidad_entidades,0.1149737660907129,0.10469831255328776,3.759321709210392e-06
