metrica,media_clase_0,media_clase_1,p_value
num_tokens,166.31074168797954,200.0075,0.05904346632947891
num_palabras,128.74040920716112,155.02875,0.039466060339437316
num_oraciones,7.705882352941177,9.18,0.04302098771362159
num_verbs,14.529411764705882,17.86625,0.02633996256663105
num_nouns,26.34143222506394,30.38625,0.09227264216632183
num_adjs,9.12531969309463,10.6275,0.04958914017015319
num_advs,4.274936061381074,5.1575,0.015499725031050333
num_entidades,15.28388746803069,19.0125,0.4510053948299775
longitud_promedio_oracion,18.57824422228068,18.380110963588656,0.9756332399771338
densidad_verbos,0.06842947231676366,0.07017318906134565,0.27401098410284486
densidad_sustantivos,0.12969526650963642,0.1274640710133668,0.483891672531656
densidad_entidades,0.08299564423316513,0.07748059074883493,0.3040230926619788
