metrica,media_clase_0,media_clase_1,p_value
num_tokens,38.91304347826087,39.79,0.4877791993133149
num_palabras,31.0690537084399,32.3975,0.35646613719823916
num_oraciones,2.347826086956522,2.32,0.9488283498194023
num_verbs,3.071611253196931,3.2025,0.6611204472149612
num_nouns,6.014066496163683,6.51125,0.2788813408432391
num_adjs,2.4820971867007673,2.48625,0.6485305158863044
num_advs,0.8324808184143222,0.9925,0.030353526797609463
num_entidades,4.145780051150895,3.71125,0.007188150589068721
longitud_promedio_oracion,15.706452254054557,16.4338002518315,0.11292294862251728
densidad_verbos,0.06911787590818504,0.06964013336834757,0.7232795059770432
densidad_sustantivos,0.13711417219193714,0.14422981138194083,0.30802446238231407
densidad_entidades,0.1377578443635424,0.13490174156169707,0.014131346030441992
