metrica,media_clase_0,media_clase_1,p_value
num_tokens,33.92071611253197,30.59125,0.04478972950421858
num_palabras,26.54987212276215,24.5675,0.11013900591718392
num_oraciones,2.1585677749360612,2.025,0.9080158827267407
num_verbs,2.60613810741688,2.42625,0.07853182899876297
num_nouns,5.878516624040921,5.29125,0.6233767575120258
num_adjs,2.5115089514066495,2.19625,0.10342070912740975
num_advs,0.5140664961636828,0.455,0.11774457879197453
num_entidades,2.9040920716112533,2.64625,0.04582281954087417
longitud_promedio_oracion,17.542983443023825,16.915877303742008,0.07409561095025685
densidad_verbos,0.07582766908093891,0.07363730444384814,0.3386501573392394
densidad_sustantivos,0.16083377985580685,0.16338863764958603,0.4884308594231518
densidad_entidades,0.10314557719989513,0.10256520738237974,0.6698227447411795
